snapshot_version,property_id,property_name,floor,raw_equipment_context,raw_label,inferred_raw_type,topic_count,evidence_strength,source_type,review_required,review_reason
w03,b470b97b-4ea7-481c-97b7-22a81a219587,msa_orient_building_1,Floor_02,DEV205001_FPTU_02_01,FPTU_02_01,FPTU,10,multiple_point_evidence,topics,false,
w03,b470b97b-4ea7-481c-97b7-22a81a219587,msa_orient_building_1,Floor_02,DEV205009_VAV_02_02,VAV_02_02,VAV,1,weak_topic_evidence,topics,true,weak_topic_evidence
w03,b470b97b-4ea7-481c-97b7-22a81a219587,msa_orient_building_1,Floor_02,DEV205012_VAV_02_05,VAV_02_05,VAV,1,weak_topic_evidence,topics,true,weak_topic_evidence
w03,b470b97b-4ea7-481c-97b7-22a81a219587,msa_orient_building_1,Floor_02,DEV205013_VAV_02_06,VAV_02_06,VAV,12,multiple_point_evidence,topics,false,
w03,b470b97b-4ea7-481c-97b7-22a81a219587,msa_orient_building_1,Floor_02,DEV205015_AHU-02A,AHU-02A,AHU,1,weak_topic_evidence,topics,true,weak_topic_evidence
w03,b470b97b-4ea7-481c-97b7-22a81a219587,msa_orient_building_1,Floor_02,DEV205016_AHU-02B,AHU-02B,AHU,6,multiple_point_evidence,topics,false,
w03,b470b97b-4ea7-481c-97b7-22a81a219587,msa_orient_building_1,Floor_02,DEV205017_AHU-02C,AHU-02C,AHU,6,multiple_point_evidence,topics,false,
w03,b470b97b-4ea7-481c-97b7-22a81a219587,msa_orient_building_1,Floor_02,DEV36229_AHU_2_01,AHU_2_01,AHU,19,multiple_point_evidence,topics,false,
w03,b470b97b-4ea7-481c-97b7-22a81a219587,msa_orient_building_1,Floor_02,DEV36230_AHU_2_02,AHU_2_02,AHU,17,multiple_point_evidence,topics,false,
w03,b470b97b-4ea7-481c-97b7-22a81a219587,msa_orient_building_1,Floor_02,DEV36231_AHU_2_03,AHU_2_03,AHU,24,multiple_point_evidence,topics,false,
w03,b470b97b-4ea7-481c-97b7-22a81a219587,msa_orient_building_1,Floor_02,DEV36232_FCU_PM_2_01,FCU_PM_2_01,FCU,25,multiple_point_evidence,topics,false,
w03,b470b97b-4ea7-481c-97b7-22a81a219587,msa_orient_building_1,Floor_02,DEV36233_VAV_2_01,VAV_2_01,VAV,29,multiple_point_evidence,topics,false,
w03,b470b97b-4ea7-481c-97b7-22a81a219587,msa_orient_building_1,Floor_02,DEV36234_VAVRH_2_01,VAVRH_2_01,VAVRH,29,multiple_point_evidence,topics,false,
