snapshot_version,property_id,property_name,floor,canonical_name,canonical_key,equipment_type,discrepancy_category,status,in_topics,in_drawings,topics_raw_label,topics_inferred_type,drawing_raw_label,drawing_equipment_type,review_required,review_reason
w04,b470b97b-4ea7-481c-97b7-22a81a219587,msa_orient_building_1,Floor_02,AHU_02A,AHU_02A,AHU,matched,settled,true,true,AHU-02A,AHU,AHU 02 A,AHU,false,
w04,b470b97b-4ea7-481c-97b7-22a81a219587,msa_orient_building_1,Floor_02,AHU-02B,AHU_02B,AHU,topics_only,review_required,true,false,AHU-02B,AHU,,,true,present in BMS topics but absent from drawing evidence
w04,b470b97b-4ea7-481c-97b7-22a81a219587,msa_orient_building_1,Floor_02,AHU_02C,AHU_02C,AHU,matched,settled,true,true,AHU-02C,AHU,AHU 02 C,AHU,false,
w04,b470b97b-4ea7-481c-97b7-22a81a219587,msa_orient_building_1,Floor_02,AHU_2_01,AHU_2_1,AHU,topics_only,review_required,true,false,AHU_2_01,AHU,,,true,present in BMS topics but absent from drawing evidence
w04,b470b97b-4ea7-481c-97b7-22a81a219587,msa_orient_building_1,Floor_02,AHU_2_02,AHU_2_2,AHU,topics_only,review_required,true,false,AHU_2_02,AHU,,,true,present in BMS topics but absent from drawing evidence
w04,b470b97b-4ea7-481c-97b7-22a81a219587,msa_orient_building_1,Floor_02,AHU_2_03,AHU_2_3,AHU,topics_only,review_required,true,false,AHU_2_03,AHU,,,true,present in BMS topics but absent from drawing evidence
w04,b470b97b-4ea7-481c-97b7-22a81a219587,msa_orient_building_1,Floor_02,DAWNV_2_09,DAWNV_2_9,VAV,drawing_only,review_required,false,true,,,DAWNV_2_09,VAV,true,extracted from drawings but absent from BMS topics
w04,b470b97b-4ea7-481c-97b7-22a81a219587,msa_orient_building_1,Floor_02,EAVAV_1_01,EAVAV_1_1,EAVAV,floor_ambiguous,floor_ambiguous,true,false,EAVAV_1_01,EAVAV,,,true,path=Floor_02 but unit name carries _1_ token; W3 drawings label these _02_; supervisor clarification pending
w04,b470b97b-4ea7-481c-97b7-22a81a219587,msa_orient_building_1,Floor_02,EAVAV_1_04,EAVAV_1_4,EAVAV,floor_ambiguous,floor_ambiguous,true,false,EAVAV_1_04,EAVAV,,,true,path=Floor_02 but unit name carries _1_ token; W3 drawings label these _02_; supervisor clarification pending
w04,b470b97b-4ea7-481c-97b7-22a81a219587,msa_orient_building_1,Floor_02,EAVAV_2_01,EAVAV_2_1,EAVAV,topics_only,review_required,true,false,EAVAV_2_01,EAVAV,,,true,present in BMS topics but absent from drawing evidence
w04,b470b97b-4ea7-481c-97b7-22a81a219587,msa_orient_building_1,Floor_02,EAVAV_2_02,EAVAV_2_2,EAVAV,topics_only,review_required,true,false,EAVAV_2_02,EAVAV,,,true,present in BMS topics but absent from drawing evidence
w04,b470b97b-4ea7-481c-97b7-22a81a219587,msa_orient_building_1,Floor_02,EAVAV_2_03,EAVAV_2_3,EAVAV,topics_only,review_required,true,false,EAVAV_2_03,EAVAV,,,true,present in BMS topics but absent from drawing evidence
