topic_id,topic_name,metadata,property_id,equipment_id,unit,kind,dis
109474,Floor_01/DEV36226_AHU_1_01/ACT_COOL_STPT,"{""units"": ""noUnits"", ""type"": ""float"", ""tz"": """"}",b470b97b-4ea7-481c-97b7-22a81a219587,,noUnits,float,DEV36226_AHU_1_01/ACT_COOL_STPT
109459,Floor_01/DEV36226_AHU_1_01/ACT_COOL_STPT,"{""units"": ""noUnits"", ""type"": ""float"", ""tz"": """"}",b470b97b-4ea7-481c-97b7-22a81a219587,,noUnits,float,DEV36226_AHU_1_01/ACT_COOL_STPT
109458,Floor_01/DEV36226_AHU_1_01/ACT_HEAT_STPT,"{""units"": ""noUnits"", ""type"": ""float"", ""tz"": """"}",b470b97b-4ea7-481c-97b7-22a81a219587,,noUnits,float,DEV36226_AHU_1_01/ACT_HEAT_STPT
109473,Floor_01/DEV36226_AHU_1_01/ACT_HEAT_STPT,"{""units"": ""noUnits"", ""type"": ""float"", ""tz"": """"}",b470b97b-4ea7-481c-97b7-22a81a219587,,noUnits,float,DEV36226_AHU_1_01/ACT_HEAT_STPT
109479,Floor_01/DEV36226_AHU_1_01/CHWR_CONTROL_VALVE_CMD,"{""units"": ""percent"", ""type"": ""float"", ""tz"": """"}",b470b97b-4ea7-481c-97b7-22a81a219587,,percent,float,DEV36226_AHU_1_01/CHWR_CONTROL_VALVE_CMD
109464,Floor_01/DEV36226_AHU_1_01/CHWR_CONTROL_VALVE_CMD,"{""units"": ""percent"", ""type"": ""float"", ""tz"": """"}",b470b97b-4ea7-481c-97b7-22a81a219587,,percent,float,DEV36226_AHU_1_01/CHWR_CONTROL_VALVE_CMD
109440,Floor_01/DEV36226_AHU_1_01/CHWR_CONTROL_VALVE_POS,"{""units"": ""percent"", ""type"": ""float"", ""tz"": """"}",b470b97b-4ea7-481c-97b7-22a81a219587,,percent,float,DEV36226_AHU_1_01/CHWR_CONTROL_VALVE_POS
109487,Floor_01/DEV36226_AHU_1_01/CHWR_CONTROL_VALVE_POS,"{""units"": ""percent"", ""type"": ""float"", ""tz"": """"}",b470b97b-4ea7-481c-97b7-22a81a219587,,percent,float,DEV36226_AHU_1_01/CHWR_CONTROL_VALVE_POS
109445,Floor_01/DEV36226_AHU_1_01/CHWS_ISO_VALVE_CMD,"{""units"": ""Enum"", ""type"": ""boolean"", ""tz"": """"}",b470b97b-4ea7-481c-97b7-22a81a219587,,Enum,boolean,DEV36226_AHU_1_01/CHWS_ISO_VALVE_CMD
109396,Floor_01/DEV36226_AHU_1_01/CHWS_ISO_VALVE_CMD,"{""units"": ""Enum"", ""type"": ""boolean"", ""tz"": """"}",b470b97b-4ea7-481c-97b7-22a81a219587,,Enum,boolean,DEV36226_AHU_1_01/CHWS_ISO_VALVE_CMD
109450,Floor_01/DEV36226_AHU_1_01/CHWS_ISO_VALVE_STATUS,"{""units"": ""Enum"", ""type"": ""boolean"", ""tz"": """"}",b470b97b-4ea7-481c-97b7-22a81a219587,,Enum,boolean,DEV36226_AHU_1_01/CHWS_ISO_VALVE_STATUS
109433,Floor_01/DEV36226_AHU_1_01/CHWS_ISO_VALVE_STATUS,"{""units"": ""Enum"", ""type"": ""boolean"", ""tz"": """"}",b470b97b-4ea7-481c-97b7-22a81a219587,,Enum,boolean,DEV36226_AHU_1_01/CHWS_ISO_VALVE_STATUS
109460,Floor_01/DEV36226_AHU_1_01/CO2,"{""units"": ""partsPerMillion"", ""type"": ""float"", ""tz"": """"}",b470b97b-4ea7-481c-97b7-22a81a219587,,partsPerMillion,float,DEV36226_AHU_1_01/CO2
109475,Floor_01/DEV36226_AHU_1_01/CO2,"{""units"": ""partsPerMillion"", ""type"": ""float"", ""tz"": """"}",b470b97b-4ea7-481c-97b7-22a81a219587,,partsPerMillion,float,DEV36226_AHU_1_01/CO2
